order_details_id,order_id,order_date,order_time,item_id,menu_item_id,item_name,category,price
108,44,01-01-2023,17:54:20,130,130,Shrimp Scampi,Italian,19.95
109,45,01-01-2023,17:55:48,125,125,Spaghetti & Meatballs,Italian,17.95
110,45,01-01-2023,17:55:48,109,109,Korean Beef Bowl,Asian,17.95
111,45,01-01-2023,17:55:48,106,106,French Fries,American,7
112,46,01-01-2023,18:25:51,104,104,Veggie Burger,American,10.5
113,46,01-01-2023,18:25:51,108,108,Tofu Pad Thai,Asian,14.5
114,46,01-01-2023,18:25:51,106,106,French Fries,American,7
115,47,01-01-2023,18:26:34,105,105,Mac & Cheese,American,7
116,47,01-01-2023,18:26:34,132,132,Eggplant Parmesan,Italian,16.95
117,48,01-01-2023,18:26:42,104,104,Veggie Burger,American,10.5
118,48,01-01-2023,18:26:42,126,126,Fettuccine Alfredo,Italian,14.5
119,48,01-01-2023,18:26:42,119,119,Chicken Torta,Mexican,11.95
120,48,01-01-2023,18:26:42,122,122,Chips & Salsa,Mexican,7
121,49,01-01-2023,18:33:00,120,120,Steak Torta,Mexican,13.95
122,50,01-01-2023,18:41:01,0,0,0,0,0
123,51,01-01-2023,18:48:28,101,101,Hamburger,American,12.95
124,51,01-01-2023,18:48:28,112,112,Salmon Roll,Asian,14.95
125,52,01-01-2023,18:53:02,109,109,Korean Beef Bowl,Asian,17.95
126,52,01-01-2023,18:53:02,129,129,Mushroom Ravioli,Italian,15.5
127,52,01-01-2023,18:53:02,122,122,Chips & Salsa,Mexican,7
128,53,01-01-2023,18:54:17,112,112,Salmon Roll,Asian,14.95
129,53,01-01-2023,18:54:17,123,123,Chips & Guacamole,Mexican,9
130,54,01-01-2023,19:01:45,119,119,Chicken Torta,Mexican,11.95
131,54,01-01-2023,19:01:45,106,106,French Fries,American,7
132,55,01-01-2023,19:03:19,118,118,Steak Burrito,Mexican,14.95
133,55,01-01-2023,19:03:19,122,122,Chips & Salsa,Mexican,7
134,56,01-01-2023,19:07:00,108,108,Tofu Pad Thai,Asian,14.5
135,56,01-01-2023,19:07:00,128,128,Cheese Lasagna,Italian,15.5
136,56,01-01-2023,19:07:00,105,105,Mac & Cheese,American,7
137,57,01-01-2023,19:10:51,108,108,Tofu Pad Thai,Asian,14.5
138,58,01-01-2023,19:30:40,124,124,Spaghetti,Italian,14.5
139,58,01-01-2023,19:30:40,113,113,Edamame,Asian,5
140,59,01-01-2023,19:40:08,127,127,Meat Lasagna,Italian,17.95
141,59,01-01-2023,19:40:08,112,112,Salmon Roll,Asian,14.95
142,59,01-01-2023,19:40:08,113,113,Edamame,Asian,5
143,60,01-01-2023,20:05:16,104,104,Veggie Burger,American,10.5
144,60,01-01-2023,20:05:16,125,125,Spaghetti & Meatballs,Italian,17.95
145,61,01-01-2023,20:08:43,101,101,Hamburger,American,12.95
146,61,01-01-2023,20:08:43,117,117,Chicken Burrito,Mexican,12.95
147,62,01-01-2023,20:50:16,101,101,Hamburger,American,12.95
148,62,01-01-2023,20:50:16,123,123,Chips & Guacamole,Mexican,9
149,63,01-01-2023,20:51:42,112,112,Salmon Roll,Asian,14.95
150,64,01-01-2023,20:52:08,107,107,Orange Chicken,Asian,16.5
151,65,01-01-2023,21:16:00,112,112,Salmon Roll,Asian,14.95
152,65,01-01-2023,21:16:00,120,120,Steak Torta,Mexican,13.95
153,65,01-01-2023,21:16:00,122,122,Chips & Salsa,Mexican,7
154,65,01-01-2023,21:16:00,123,123,Chips & Guacamole,Mexican,9
155,66,01-01-2023,21:47:55,108,108,Tofu Pad Thai,Asian,14.5
156,66,01-01-2023,21:47:55,110,110,Pork Ramen,Asian,17.95
157,67,01-01-2023,22:03:40,105,105,Mac & Cheese,American,7
158,68,01-01-2023,22:07:32,108,108,Tofu Pad Thai,Asian,14.5
159,68,01-01-2023,22:07:32,117,117,Chicken Burrito,Mexican,12.95
160,68,01-01-2023,22:07:32,117,117,Chicken Burrito,Mexican,12.95
161,69,01-01-2023,22:12:13,101,101,Hamburger,American,12.95
162,70,02-01-2023,11:38:51,127,127,Meat Lasagna,Italian,17.95
163,70,02-01-2023,11:38:51,121,121,Cheese Quesadillas,Mexican,10.5
164,71,02-01-2023,11:40:50,106,106,French Fries,American,7
165,72,02-01-2023,11:57:25,131,131,Chicken Parmesan,Italian,17.95
166,73,02-01-2023,11:58:56,106,106,French Fries,American,7
167,74,02-01-2023,12:01:12,124,124,Spaghetti,Italian,14.5
168,74,02-01-2023,12:01:12,129,129,Mushroom Ravioli,Italian,15.5
169,74,02-01-2023,12:01:12,130,130,Shrimp Scampi,Italian,19.95
170,74,02-01-2023,12:01:12,123,123,Chips & Guacamole,Mexican,9
171,75,02-01-2023,12:10:15,117,117,Chicken Burrito,Mexican,12.95
172,75,02-01-2023,12:10:15,128,128,Cheese Lasagna,Italian,15.5
173,75,02-01-2023,12:10:15,111,111,California Roll,Asian,11.95
174,76,02-01-2023,12:21:17,107,107,Orange Chicken,Asian,16.5
175,76,02-01-2023,12:21:17,109,109,Korean Beef Bowl,Asian,17.95
176,76,02-01-2023,12:21:17,127,127,Meat Lasagna,Italian,17.95
177,76,02-01-2023,12:21:17,122,122,Chips & Salsa,Mexican,7
178,77,02-01-2023,12:22:46,101,101,Hamburger,American,12.95
179,77,02-01-2023,12:22:46,109,109,Korean Beef Bowl,Asian,17.95
180,78,02-01-2023,12:28:14,107,107,Orange Chicken,Asian,16.5
181,78,02-01-2023,12:28:14,108,108,Tofu Pad Thai,Asian,14.5
182,78,02-01-2023,12:28:14,125,125,Spaghetti & Meatballs,Italian,17.95
183,78,02-01-2023,12:28:14,110,110,Pork Ramen,Asian,17.95
184,78,02-01-2023,12:28:14,122,122,Chips & Salsa,Mexican,7
185,78,02-01-2023,12:28:14,106,106,French Fries,American,7
186,79,02-01-2023,12:29:11,110,110,Pork Ramen,Asian,17.95
187,79,02-01-2023,12:29:11,112,112,Salmon Roll,Asian,14.95
188,79,02-01-2023,12:29:11,106,106,French Fries,American,7
189,80,02-01-2023,12:35:38,113,113,Edamame,Asian,5
190,80,02-01-2023,12:35:38,106,106,French Fries,American,7
191,81,02-01-2023,12:40:01,106,106,French Fries,American,7
192,82,02-01-2023,12:45:51,107,107,Orange Chicken,Asian,16.5
193,82,02-01-2023,12:45:51,102,102,Cheeseburger,American,13.95
194,82,02-01-2023,12:45:51,122,122,Chips & Salsa,Mexican,7
195,82,02-01-2023,12:45:51,132,132,Eggplant Parmesan,Italian,16.95
196,83,02-01-2023,12:53:27,105,105,Mac & Cheese,American,7
197,84,02-01-2023,13:13:41,113,113,Edamame,Asian,5
198,85,02-01-2023,13:34:49,108,108,Tofu Pad Thai,Asian,14.5
199,85,02-01-2023,13:34:49,108,108,Tofu Pad Thai,Asian,14.5
200,85,02-01-2023,13:34:49,117,117,Chicken Burrito,Mexican,12.95
201,85,02-01-2023,13:34:49,114,114,Potstickers,Asian,9
202,86,02-01-2023,13:40:31,109,109,Korean Beef Bowl,Asian,17.95
203,87,02-01-2023,14:01:02,110,110,Pork Ramen,Asian,17.95
204,87,02-01-2023,14:01:02,129,129,Mushroom Ravioli,Italian,15.5
205,87,02-01-2023,14:01:02,123,123,Chips & Guacamole,Mexican,9
206,87,02-01-2023,14:01:02,123,123,Chips & Guacamole,Mexican,9
207,88,02-01-2023,14:10:08,124,124,Spaghetti,Italian,14.5
208,89,02-01-2023,14:30:19,121,121,Cheese Quesadillas,Mexican,10.5
209,89,02-01-2023,14:30:19,106,106,French Fries,American,7
210,90,02-01-2023,15:08:48,120,120,Steak Torta,Mexican,13.95
211,90,02-01-2023,15:08:48,106,106,French Fries,American,7
212,91,02-01-2023,15:14:43,101,101,Hamburger,American,12.95
213,91,02-01-2023,15:14:43,104,104,Veggie Burger,American,10.5
214,91,02-01-2023,15:14:43,113,113,Edamame,Asian,5
215,92,02-01-2023,15:17:02,101,101,Hamburger,American,12.95
216,92,02-01-2023,15:17:02,117,117,Chicken Burrito,Mexican,12.95
217,92,02-01-2023,15:17:02,117,117,Chicken Burrito,Mexican,12.95
218,92,02-01-2023,15:17:02,127,127,Meat Lasagna,Italian,17.95
219,92,02-01-2023,15:17:02,113,113,Edamame,Asian,5
220,92,02-01-2023,15:17:02,118,118,Steak Burrito,Mexican,14.95
221,92,02-01-2023,15:17:02,131,131,Chicken Parmesan,Italian,17.95
222,92,02-01-2023,15:17:02,123,123,Chips & Guacamole,Mexican,9
223,92,02-01-2023,15:17:02,114,114,Potstickers,Asian,9
224,93,02-01-2023,15:29:31,120,120,Steak Torta,Mexican,13.95
225,94,02-01-2023,16:17:16,110,110,Pork Ramen,Asian,17.95
226,94,02-01-2023,16:17:16,105,105,Mac & Cheese,American,7
227,95,02-01-2023,16:18:04,111,111,California Roll,Asian,11.95
228,95,02-01-2023,16:18:04,118,118,Steak Burrito,Mexican,14.95
229,96,02-01-2023,16:21:20,111,111,California Roll,Asian,11.95
230,97,02-01-2023,16:45:33,107,107,Orange Chicken,Asian,16.5
231,98,02-01-2023,17:18:18,108,108,Tofu Pad Thai,Asian,14.5
232,98,02-01-2023,17:18:18,111,111,California Roll,Asian,11.95
233,99,02-01-2023,17:45:42,117,117,Chicken Burrito,Mexican,12.95
234,100,02-01-2023,17:46:17,109,109,Korean Beef Bowl,Asian,17.95
235,101,02-01-2023,17:51:33,102,102,Cheeseburger,American,13.95
236,101,02-01-2023,17:51:33,113,113,Edamame,Asian,5
237,101,02-01-2023,17:51:33,121,121,Cheese Quesadillas,Mexican,10.5
238,101,02-01-2023,17:51:33,122,122,Chips & Salsa,Mexican,7
239,102,02-01-2023,17:54:04,101,101,Hamburger,American,12.95
240,102,02-01-2023,17:54:04,119,119,Chicken Torta,Mexican,11.95
241,103,02-01-2023,18:02:09,123,123,Chips & Guacamole,Mexican,9
242,104,02-01-2023,18:02:12,101,101,Hamburger,American,12.95
243,104,02-01-2023,18:02:12,103,103,Hot Dog,American,9
244,104,02-01-2023,18:02:12,127,127,Meat Lasagna,Italian,17.95
245,104,02-01-2023,18:02:12,132,132,Eggplant Parmesan,Italian,16.95
246,105,02-01-2023,18:12:01,109,109,Korean Beef Bowl,Asian,17.95
247,105,02-01-2023,18:12:01,113,113,Edamame,Asian,5
248,105,02-01-2023,18:12:01,119,119,Chicken Torta,Mexican,11.95
249,106,02-01-2023,18:12:13,129,129,Mushroom Ravioli,Italian,15.5
250,106,02-01-2023,18:12:13,122,122,Chips & Salsa,Mexican,7
251,107,02-01-2023,18:25:09,102,102,Cheeseburger,American,13.95
252,107,02-01-2023,18:25:09,117,117,Chicken Burrito,Mexican,12.95
253,107,02-01-2023,18:25:09,122,122,Chips & Salsa,Mexican,7
254,107,02-01-2023,18:25:09,132,132,Eggplant Parmesan,Italian,16.95
255,108,02-01-2023,18:25:25,108,108,Tofu Pad Thai,Asian,14.5
256,108,02-01-2023,18:25:25,109,109,Korean Beef Bowl,Asian,17.95
257,108,02-01-2023,18:25:25,123,123,Chips & Guacamole,Mexican,9
258,109,02-01-2023,18:27:50,110,110,Pork Ramen,Asian,17.95
259,109,02-01-2023,18:27:50,117,117,Chicken Burrito,Mexican,12.95
260,109,02-01-2023,18:27:50,113,113,Edamame,Asian,5
261,109,02-01-2023,18:27:50,119,119,Chicken Torta,Mexican,11.95
262,110,02-01-2023,18:36:19,107,107,Orange Chicken,Asian,16.5
263,110,02-01-2023,18:36:19,111,111,California Roll,Asian,11.95
264,110,02-01-2023,18:36:19,121,121,Cheese Quesadillas,Mexican,10.5
265,110,02-01-2023,18:36:19,122,122,Chips & Salsa,Mexican,7
266,111,02-01-2023,18:38:01,102,102,Cheeseburger,American,13.95
267,111,02-01-2023,18:38:01,124,124,Spaghetti,Italian,14.5
268,111,02-01-2023,18:38:01,113,113,Edamame,Asian,5
269,111,02-01-2023,18:38:01,130,130,Shrimp Scampi,Italian,19.95
270,112,02-01-2023,18:41:40,113,113,Edamame,Asian,5
271,113,02-01-2023,18:50:21,102,102,Cheeseburger,American,13.95
272,113,02-01-2023,18:50:21,129,129,Mushroom Ravioli,Italian,15.5
273,113,02-01-2023,18:50:21,105,105,Mac & Cheese,American,7
274,114,02-01-2023,18:59:32,113,113,Edamame,Asian,5
275,114,02-01-2023,18:59:32,120,120,Steak Torta,Mexican,13.95
276,115,02-01-2023,19:05:17,107,107,Orange Chicken,Asian,16.5
277,115,02-01-2023,19:05:17,111,111,California Roll,Asian,11.95
278,115,02-01-2023,19:05:17,106,106,French Fries,American,7
279,116,02-01-2023,19:18:49,124,124,Spaghetti,Italian,14.5
280,117,02-01-2023,19:23:02,118,118,Steak Burrito,Mexican,14.95
281,117,02-01-2023,19:23:02,120,120,Steak Torta,Mexican,13.95
282,118,02-01-2023,19:26:59,119,119,Chicken Torta,Mexican,11.95
283,118,02-01-2023,19:26:59,131,131,Chicken Parmesan,Italian,17.95
284,119,02-01-2023,19:32:29,125,125,Spaghetti & Meatballs,Italian,17.95
285,120,02-01-2023,19:35:07,108,108,Tofu Pad Thai,Asian,14.5
286,120,02-01-2023,19:35:07,109,109,Korean Beef Bowl,Asian,17.95
287,120,02-01-2023,19:35:07,131,131,Chicken Parmesan,Italian,17.95
288,121,02-01-2023,19:38:48,101,101,Hamburger,American,12.95
289,121,02-01-2023,19:38:48,125,125,Spaghetti & Meatballs,Italian,17.95
290,121,02-01-2023,19:38:48,120,120,Steak Torta,Mexican,13.95
291,121,02-01-2023,19:38:48,105,105,Mac & Cheese,American,7
292,122,02-01-2023,19:50:19,117,117,Chicken Burrito,Mexican,12.95
293,123,02-01-2023,20:12:09,110,110,Pork Ramen,Asian,17.95
294,124,02-01-2023,20:12:34,101,101,Hamburger,American,12.95
295,124,02-01-2023,20:12:34,120,120,Steak Torta,Mexican,13.95
296,124,02-01-2023,20:12:34,122,122,Chips & Salsa,Mexican,7
297,124,02-01-2023,20:12:34,114,114,Potstickers,Asian,9
298,125,02-01-2023,20:31:06,NULL,NULL,NULL,NULL,NULL
299,126,02-01-2023,20:53:42,132,132,Eggplant Parmesan,Italian,16.95
300,127,02-01-2023,20:58:23,113,113,Edamame,Asian,5
301,128,02-01-2023,21:05:06,122,122,Chips & Salsa,Mexican,7
302,129,02-01-2023,21:13:02,107,107,Orange Chicken,Asian,16.5
303,129,02-01-2023,21:13:02,114,114,Potstickers,Asian,9
304,130,02-01-2023,21:14:55,109,109,Korean Beef Bowl,Asian,17.95
305,130,02-01-2023,21:14:55,110,110,Pork Ramen,Asian,17.95
306,130,02-01-2023,21:14:55,129,129,Mushroom Ravioli,Italian,15.5
307,130,02-01-2023,21:14:55,105,105,Mac & Cheese,American,7
308,131,02-01-2023,21:33:10,104,104,Veggie Burger,American,10.5
309,131,02-01-2023,21:33:10,124,124,Spaghetti,Italian,14.5
310,131,02-01-2023,21:33:10,126,126,Fettuccine Alfredo,Italian,14.5
311,131,02-01-2023,21:33:10,123,123,Chips & Guacamole,Mexican,9
312,132,02-01-2023,21:42:45,113,113,Edamame,Asian,5
313,133,02-01-2023,22:00:17,101,101,Hamburger,American,12.95
314,133,02-01-2023,22:00:17,109,109,Korean Beef Bowl,Asian,17.95
315,133,02-01-2023,22:00:17,114,114,Potstickers,Asian,9
316,134,02-01-2023,22:13:24,107,107,Orange Chicken,Asian,16.5
317,134,02-01-2023,22:13:24,105,105,Mac & Cheese,American,7
318,134,02-01-2023,22:13:24,123,123,Chips & Guacamole,Mexican,9
319,135,02-01-2023,22:29:34,132,132,Eggplant Parmesan,Italian,16.95
320,136,02-01-2023,22:32:49,124,124,Spaghetti,Italian,14.5
321,136,02-01-2023,22:32:49,118,118,Steak Burrito,Mexican,14.95
322,137,03-01-2023,11:34:10,128,128,Cheese Lasagna,Italian,15.5
323,137,03-01-2023,11:34:10,113,113,Edamame,Asian,5
324,137,03-01-2023,11:34:10,122,122,Chips & Salsa,Mexican,7
325,138,03-01-2023,11:44:50,102,102,Cheeseburger,American,13.95
326,138,03-01-2023,11:44:50,125,125,Spaghetti & Meatballs,Italian,17.95
327,138,03-01-2023,11:44:50,127,127,Meat Lasagna,Italian,17.95
328,138,03-01-2023,11:44:50,120,120,Steak Torta,Mexican,13.95
329,139,03-01-2023,11:57:39,124,124,Spaghetti,Italian,14.5
330,140,03-01-2023,12:26:44,119,119,Chicken Torta,Mexican,11.95
331,140,03-01-2023,12:26:44,132,132,Eggplant Parmesan,Italian,16.95
332,141,03-01-2023,13:16:01,108,108,Tofu Pad Thai,Asian,14.5
333,142,03-01-2023,13:33:59,126,126,Fettuccine Alfredo,Italian,14.5
334,143,03-01-2023,13:41:36,102,102,Cheeseburger,American,13.95
335,143,03-01-2023,13:41:36,108,108,Tofu Pad Thai,Asian,14.5
336,143,03-01-2023,13:41:36,109,109,Korean Beef Bowl,Asian,17.95
337,143,03-01-2023,13:41:36,129,129,Mushroom Ravioli,Italian,15.5
338,143,03-01-2023,13:41:36,113,113,Edamame,Asian,5
339,143,03-01-2023,13:41:36,119,119,Chicken Torta,Mexican,11.95
340,143,03-01-2023,13:41:36,106,106,French Fries,American,7
341,143,03-01-2023,13:41:36,132,132,Eggplant Parmesan,Italian,16.95
342,144,03-01-2023,13:44:28,101,101,Hamburger,American,12.95
343,144,03-01-2023,13:44:28,107,107,Orange Chicken,Asian,16.5
344,144,03-01-2023,13:44:28,102,102,Cheeseburger,American,13.95
345,144,03-01-2023,13:44:28,104,104,Veggie Burger,American,10.5
346,144,03-01-2023,13:44:28,124,124,Spaghetti,Italian,14.5
347,144,03-01-2023,13:44:28,125,125,Spaghetti & Meatballs,Italian,17.95
348,144,03-01-2023,13:44:28,112,112,Salmon Roll,Asian,14.95
349,144,03-01-2023,13:44:28,105,105,Mac & Cheese,American,7
350,144,03-01-2023,13:44:28,105,105,Mac & Cheese,American,7
351,144,03-01-2023,13:44:28,122,122,Chips & Salsa,Mexican,7
352,144,03-01-2023,13:44:28,106,106,French Fries,American,7
353,144,03-01-2023,13:44:28,132,132,Eggplant Parmesan,Italian,16.95
354,145,03-01-2023,13:53:48,114,114,Potstickers,Asian,9
355,146,03-01-2023,14:22:10,102,102,Cheeseburger,American,13.95
356,146,03-01-2023,14:22:10,125,125,Spaghetti & Meatballs,Italian,17.95
357,146,03-01-2023,14:22:10,109,109,Korean Beef Bowl,Asian,17.95
358,147,03-01-2023,14:32:51,NULL,NULL,NULL,NULL,NULL
359,148,03-01-2023,14:40:42,128,128,Cheese Lasagna,Italian,15.5
360,149,03-01-2023,14:48:45,131,131,Chicken Parmesan,Italian,17.95
361,150,03-01-2023,14:49:58,113,113,Edamame,Asian,5
362,151,03-01-2023,15:09:34,105,105,Mac & Cheese,American,7
363,151,03-01-2023,15:09:34,123,123,Chips & Guacamole,Mexican,9
364,152,03-01-2023,15:09:42,109,109,Korean Beef Bowl,Asian,17.95
365,152,03-01-2023,15:09:42,131,131,Chicken Parmesan,Italian,17.95
366,152,03-01-2023,15:09:42,106,106,French Fries,American,7
367,152,03-01-2023,15:09:42,114,114,Potstickers,Asian,9
368,153,03-01-2023,15:16:34,129,129,Mushroom Ravioli,Italian,15.5
369,154,03-01-2023,15:22:43,119,119,Chicken Torta,Mexican,11.95
370,155,03-01-2023,15:28:59,104,104,Veggie Burger,American,10.5
371,155,03-01-2023,15:28:59,111,111,California Roll,Asian,11.95
372,155,03-01-2023,15:28:59,113,113,Edamame,Asian,5
373,155,03-01-2023,15:28:59,118,118,Steak Burrito,Mexican,14.95
374,156,03-01-2023,15:42:19,111,111,California Roll,Asian,11.95
375,156,03-01-2023,15:42:19,106,106,French Fries,American,7
376,157,03-01-2023,15:43:03,117,117,Chicken Burrito,Mexican,12.95
377,157,03-01-2023,15:43:03,128,128,Cheese Lasagna,Italian,15.5
378,157,03-01-2023,15:43:03,120,120,Steak Torta,Mexican,13.95
379,157,03-01-2023,15:43:03,130,130,Shrimp Scampi,Italian,19.95
